OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ISS (ZARYA),1998-067A,2023-01-01T06:28:40.541088,15.49811030,.0005204,51.6448,75.3411,209.5406,257.0907,0,U,25544,999,37590,.28903E-3,.15968E-3,0
ISS (ZARYA),1998-067A,2023-01-01T12:46:48.697248,15.49823312,.0005211,51.6444,74.0407,211.7305,280.9843,0,U,25544,999,37594,.30181E-3,.16704E-3,0
ISS (ZARYA),1998-067A,2023-01-01T17:28:45.194304,15.49832078,.0005153,51.6445,73.0716,212.0396,293.8042,0,U,25544,999,37597,.30983E-3,.17166E-3,0
ISS (ZARYA),1998-067A,2023-01-02T00:52:04.330272,15.49842962,.0005164,51.6446,71.5466,213.3191,211.3400,0,U,25544,999,37602,.31006E-3,.17186E-3,0
ISS (ZARYA),1998-067A,2023-01-02T05:40:34.178880,15.49850707,.0005129,51.6447,70.5542,214.4037,248.8124,0,U,25544,999,37605,.31276E-3,.17344E-3,0
ISS (ZARYA),1998-067A,2023-01-02T10:15:12.441312,15.49857705,.0005127,51.6446,69.6092,215.2634,232.7755,0,U,25544,999,37608,.31461E-3,.17455E-3,0
ISS (ZARYA),1998-067A,2023-01-02T13:35:49.828416,15.49863597,.0005029,51.6448,68.9190,218.0405,287.8557,0,U,25544,999,37610,.31875E-3,.17694E-3,0
ISS (ZARYA),1998-067A,2023-01-02T22:11:23.999712,15.49876780,.000511,51.6447,67.1452,217.4415,127.4401,0,U,25544,999,37615,.32007E-3,.17778E-3,0
ISS (ZARYA),1998-067A,2023-01-03T00:04:05.585952,15.49879628,.0005123,51.6447,66.7575,217.4837,204.3380,0,U,25544,999,37617,.32009E-3,.17781E-3,0
ISS (ZARYA),1998-067A,2023-01-03T04:39:30.962304,15.49874067,.0004902,51.6444,65.8124,220.0274,189.6486,0,U,25544,999,37620,.25279E-3,.13936E-3,0
ISS (ZARYA),1998-067A,2023-01-03T11:11:04.252416,15.49890638,.000482,51.6453,64.4633,220.4826,267.3680,0,U,25544,999,37624,.30337E-3,.16833E-3,0
ISS (ZARYA),1998-067A,2023-01-03T12:36:01.932768,15.49892242,.0005004,51.6453,64.1711,218.5032,238.7671,0,U,25544,999,37625,.30219E-3,.16767E-3,0
ISS (ZARYA),1998-067A,2023-01-03T21:21:45.000288,15.49900198,.0005112,51.6446,62.3628,222.8238,112.7977,0,U,25544,999,37630,.2864E-3,.15869E-3,0
ISS (ZARYA),1998-067A,2023-01-04T07:16:13.368864,15.49908045,.000499,51.6446,60.3181,224.8912,255.6676,0,U,25544,999,37637,.26986E-3,.14929E-3,0
ISS (ZARYA),1998-067A,2023-01-04T08:44:36.072096,15.49909310,.000498,51.6446,60.0141,225.5107,237.7172,0,U,25544,999,37638,.26815E-3,.14832E-3,0
ISS (ZARYA),1998-067A,2023-01-04T13:25:33.565728,15.49912485,.0004902,51.6447,59.0482,225.7088,246.8802,0,U,25544,999,37641,.25762E-3,.14231E-3,0
ISS (ZARYA),1998-067A,2023-01-04T14:55:01.350624,15.49910357,.0004956,51.6449,58.7410,225.1257,234.3356,0,U,25544,999,37642,.23767E-3,.13091E-3,0
ISS (ZARYA),1998-067A,2023-01-04T22:11:03.999840,15.49921225,.0005006,51.6449,57.2399,227.1136,123.0483,0,U,25544,999,37646,.24914E-3,.13752E-3,0
ISS (ZARYA),1998-067A,2023-01-05T04:44:35.893824,15.49929095,.0004939,51.6447,55.8862,228.2736,207.7579,0,U,25544,999,37651,.24889E-3,.13741E-3,0
ISS (ZARYA),1998-067A,2023-01-05T04:52:23.468160,15.49929361,.0004934,51.6447,55.8594,228.5547,237.6931,0,U,25544,999,37651,.24928E-3,.13764E-3,0
ISS (ZARYA),1998-067A,2023-01-05T09:29:20.393088,15.49935378,.0004934,51.6447,54.9065,229.3624,230.7268,0,U,25544,999,37654,.25062E-3,.13843E-3,0
ISS (ZARYA),1998-067A,2023-01-05T12:46:13.426176,15.49940129,.000489,51.6449,54.2301,228.3828,275.1092,0,U,25544,999,37656,.25257E-3,.13957E-3,0
ISS (ZARYA),1998-067A,2023-01-05T20:38:01.149792,15.49950216,.0004815,51.6451,52.6066,230.2771,302.5672,0,U,25544,999,37661,.25437E-3,.14065E-3,0
ISS (ZARYA),1998-067A,2023-01-06T01:22:53.189184,15.49956778,.0004842,51.6453,51.6269,230.9539,326.4502,0,U,25544,999,37664,.25685E-3,.1421E-3,0
ISS (ZARYA),1998-067A,2023-01-06T05:40:13.759968,15.49962952,.0004899,51.6447,50.7420,231.6381,243.6067,0,U,25544,999,37667,.25952E-3,.14367E-3,0
ISS (ZARYA),1998-067A,2023-01-06T10:23:40.242624,15.49970496,.0004871,51.6444,49.7668,234.5355,259.7497,0,U,25544,999,37670,.26612E-3,.14748E-3,0
ISS (ZARYA),1998-067A,2023-01-06T13:37:10.436160,15.49976038,.0004805,51.6453,49.0996,232.3676,292.2319,0,U,25544,999,37672,.27043E-3,.14997E-3,0
ISS (ZARYA),1998-067A,2023-01-06T15:05:14.279136,15.49977978,.0004844,51.6450,48.7997,233.8135,272.2508,0,U,25544,999,37673,.27178E-3,.15076E-3,0
ISS (ZARYA),1998-067A,2023-01-06T20:37:44.999904,15.49985920,.000486,51.6456,47.6533,232.3949,122.9954,0,U,25544,999,37676,.27375E-3,.15193E-3,0
ISS (ZARYA),1998-067A,2023-01-07T06:20:26.071296,15.50000187,.0006294,51.6474,45.6613,227.2153,227.5689,0,U,25544,999,37683,.27825E-3,.15463E-3,0
ISS (ZARYA),1998-067A,2023-01-07T09:57:53.000064,15.50001363,.0005023,51.6452,44.9004,232.2480,345.6878,0,U,25544,999,37685,.26974E-3,.14972E-3,0
ISS (ZARYA),1998-067A,2023-01-07T12:46:32.541312,15.50006558,.0006408,51.6468,44.3340,228.0033,283.9302,0,U,25544,999,37687,.27356E-3,.15198E-3,0
ISS (ZARYA),1998-067A,2023-01-07T21:39:08.414208,15.50007894,.0004881,51.6448,42.4918,236.8521,180.2420,0,U,25544,999,37693,.21448E-3,.11809E-3,0
ISS (ZARYA),1998-067A,2023-01-08T01:23:30.130368,15.50018613,.0004894,51.6448,41.7205,239.5650,327.5219,0,U,25544,999,37695,.2632E-3,.14606E-3,0
ISS (ZARYA),1998-067A,2023-01-08T05:39:38.082816,15.50021682,.0004926,51.6454,40.8359,235.7452,244.5236,0,U,25544,999,37698,.2535E-3,.14052E-3,0
ISS (ZARYA),1998-067A,2023-01-08T09:03:53.000064,15.50025110,.0006028,51.6451,40.1299,230.0540,322.2255,0,U,25544,999,37700,.25009E-3,.1386E-3,0
ISS (ZARYA),1998-067A,2023-01-08T13:31:14.286720,15.50031167,.0004881,51.6446,39.2159,240.5036,268.4620,0,U,25544,999,37703,.25306E-3,.14031E-3,0
ISS (ZARYA),1998-067A,2023-01-08T22:28:38.814240,15.50040289,.0004909,51.6457,37.3644,239.5772,193.2687,0,U,25544,999,37709,.24753E-3,.13719E-3,0
ISS (ZARYA),1998-067A,2023-01-09T01:21:57.794688,15.50043899,.0004799,51.6448,36.7703,244.0514,140.8536,0,U,25544,999,37711,.24767E-3,.13729E-3,0
ISS (ZARYA),1998-067A,2023-01-09T04:51:32.400576,15.50046025,.0004907,51.6455,36.0473,240.2048,237.3693,0,U,25544,999,37713,.23936E-3,.13253E-3,0
ISS (ZARYA),1998-067A,2023-01-09T09:33:54.953280,15.50050766,.0004912,51.6455,35.0759,240.6524,251.8836,0,U,25544,999,37716,.23662E-3,.13098E-3,0
ISS (ZARYA),1998-067A,2023-01-09T14:15:42.844032,15.50056477,.0004881,51.6456,34.1063,241.6264,263.6377,0,U,25544,999,37719,.23801E-3,.13181E-3,0
ISS (ZARYA),1998-067A,2023-01-09T15:37:42.179232,15.50058032,.000488,51.6456,33.8241,241.8292,221.3637,0,U,25544,999,37720,.23804E-3,.13183E-3,0
ISS (ZARYA),1998-067A,2023-01-09T21:38:49.458048,15.50064857,.0004874,51.6455,32.5812,242.7706,180.7473,0,U,25544,999,37724,.23802E-3,.13185E-3,0
ISS (ZARYA),1998-067A,2023-01-10T04:01:07.414752,15.50070646,.0004832,51.6447,31.2662,243.8174,222.1484,0,U,25544,999,37728,.23331E-3,.12917E-3,0
ISS (ZARYA),1998-067A,2023-01-10T05:31:34.552992,15.50071967,.0004829,51.6446,30.9550,244.0929,212.6220,0,U,25544,999,37729,.23206E-3,.12846E-3,0
ISS (ZARYA),1998-067A,2023-01-10T08:45:28.054656,15.50075686,.0004852,51.6447,30.2879,244.3468,244.2313,0,U,25544,999,37731,.2325E-3,.12873E-3,0
ISS (ZARYA),1998-067A,2023-01-10T11:57:48.301344,15.50079716,.0004816,51.6448,29.6261,244.8760,269.5408,0,U,25544,999,37733,.23413E-3,.12968E-3,0
ISS (ZARYA),1998-067A,2023-01-10T13:27:30.051936,15.50081336,.0004816,51.6448,29.3174,245.1039,257.1319,0,U,25544,999,37734,.23378E-3,.12949E-3,0
ISS (ZARYA),1998-067A,2023-01-10T20:50:04.788672,15.50089739,.000482,51.6448,27.7940,245.8755,172.5824,0,U,25544,999,37739,.23438E-3,.12988E-3,0
ISS (ZARYA),1998-067A,2023-01-11T04:42:50.789952,15.50099545,.0004833,51.6447,26.1669,246.9374,204.8178,0,U,25544,999,37744,.23733E-3,.13162E-3,0
ISS (ZARYA),1998-067A,2023-01-11T09:17:26.070720,15.50106114,.0004801,51.6446,25.2221,247.9459,188.6154,0,U,25544,999,37747,.24225E-3,.13448E-3,0
ISS (ZARYA),1998-067A,2023-01-11T12:38:43.155168,15.50109801,.000471,51.6439,24.5314,251.3875,245.7186,0,U,25544,999,37749,.24115E-3,.13386E-3,0
ISS (ZARYA),1998-067A,2023-01-11T18:08:22.000416,15.50115985,.0004793,51.6440,23.3972,251.2545,84.1727,0,U,25544,999,37752,.24077E-3,.13367E-3,0
ISS (ZARYA),1998-067A,2023-01-11T21:38:19.565376,15.50120441,.0004709,51.6441,22.6748,252.6043,177.0168,0,U,25544,999,37755,.24168E-3,.13422E-3,0
ISS (ZARYA),1998-067A,2023-01-12T00:50:34.176192,15.50125359,.0004681,51.6441,22.0130,253.4770,201.6446,0,U,25544,999,37757,.24495E-3,.13612E-3,0
ISS (ZARYA),1998-067A,2023-01-12T05:30:49.668192,15.50131427,.0004692,51.6445,21.0490,254.2437,207.6879,0,U,25544,999,37760,.24681E-3,.13722E-3,0
ISS (ZARYA),1998-067A,2023-01-12T08:45:12.159648,15.50136457,.000468,51.6441,20.3801,255.7672,239.9330,0,U,25544,999,37762,.25136E-3,.13987E-3,0
ISS (ZARYA),1998-067A,2023-01-12T11:50:54.492000,15.50140878,.0004623,51.6444,19.7413,257.3668,238.4830,0,U,25544,999,37764,.25389E-3,.14135E-3,0
ISS (ZARYA),1998-067A,2023-01-12T20:51:30.880224,15.50152799,.0004629,51.6445,17.8812,257.4863,174.7993,0,U,25544,999,37770,.25752E-3,.1435E-3,0
ISS (ZARYA),1998-067A,2023-01-13T03:14:25.520640,15.50161468,.000464,51.6446,16.5635,258.8926,218.3050,0,U,25544,999,37774,.26033E-3,.14516E-3,0
ISS (ZARYA),1998-067A,2023-01-13T06:35:33.000000,15.50166123,.0004631,51.6444,15.8712,260.0076,277.1463,0,U,25544,999,37776,.26216E-3,.14624E-3,0
ISS (ZARYA),1998-067A,2023-01-13T10:53:09.542688,15.50172483,.0004589,51.6444,14.9850,262.0511,194.1080,0,U,25544,999,37779,.26576E-3,.14835E-3,0
ISS (ZARYA),1998-067A,2023-01-13T18:09:41.000256,15.50182049,.000457,51.6445,13.4824,263.6558,85.3468,0,U,25544,999,37783,.26669E-3,.14894E-3,0
ISS (ZARYA),1998-067A,2023-01-13T21:38:13.708320,15.50186895,.0004566,51.6445,12.7649,263.2498,174.4973,0,U,25544,999,37786,.268E-3,.14972E-3,0
ISS (ZARYA),1998-067A,2023-01-14T00:46:36.219360,15.50190781,.0004553,51.6443,12.1166,263.4412,184.8305,0,U,25544,999,37788,.26768E-3,.14956E-3,0
ISS (ZARYA),1998-067A,2023-01-14T05:51:00.999648,15.50196940,.0004538,51.6444,11.0691,264.1586,284.6387,0,U,25544,999,37791,.267E-3,.1492E-3,0
ISS (ZARYA),1998-067A,2023-01-14T11:41:01.183200,15.50204773,.0004534,51.6442,9.8650,265.3547,200.7773,0,U,25544,999,37795,.26798E-3,.1498E-3,0
ISS (ZARYA),1998-067A,2023-01-14T17:18:30.000384,15.50210747,.0004497,51.6442,8.7055,267.8438,67.0600,0,U,25544,999,37798,.25875E-3,.14451E-3,0
